"Date","Open","High","Low","Close"
"06 Apr 2023","24420.75","24429.20","24217.90","24262.05"
"05 Apr 2023","24307.85","24433.30","24243.30","24391.00"
"03 Apr 2023","24111.95","24214.50","24063.65","24200.90"
"31 Mar 2023","23988.65","24076.05","23921.60","24035.10"
"29 Mar 2023","23683.20","23932.45","23644.20","23882.75"
"28 Mar 2023","23844.60","23866.35","23607.75","23707.70"
"27 Mar 2023","23936.55","24007.65","23750.05","23805.95"
"24 Mar 2023","24179.20","24184.65","23882.45","23957.15"
"23 Mar 2023","24160.15","24243.10","24111.75","24194.10"
"22 Mar 2023","24276.59","24309.84","24169.54","24192.05"
"21 Mar 2023","23985.65","24286.20","23954.60","24221.30"
"20 Mar 2023","24184.85","24232.55","23689.15","23867.35"
"17 Mar 2023","24085.95","24093.05","23933","24024.95"
"16 Mar 2023","23835.30","24069","23765.30","23890.25"
"15 Mar 2023","23808.60","23907","23758.85","23794.50"
"14 Mar 2023","23777.85","23851.40","23541.30","23599.60"
"13 Mar 2023","24015.10","24037.90","23635","23748.50"
"10 Mar 2023","23862.10","24077.95","23721","24041.85"
"09 Mar 2023","24312.05","24339.40","23947.90","23976.55"
"08 Mar 2023","24330.05","24340.50","24133.70","24273.90"
"06 Mar 2023","24344.75","24435.45","24312.15","24378.70"
"03 Mar 2023","24107.25","24291.35","24078.50","24220.85"
"02 Mar 2023","24172.40","24210.20","23981.30","24016.40"
"01 Mar 2023","24007.50","24198.45","23994.30","24162.30"
"28 Feb 2023","23907.70","24200.15","23816.15","23978.70"
"27 Feb 2023","24034.55","24047","23664.50","23876.85"
"24 Feb 2023","24012.30","24076.20","23924.35","24022.00"
"23 Feb 2023","24203.95","24203.95","23868.40","23938.30"
"22 Feb 2023","24224.75","24315.95","24063.85","24151.85"
"21 Feb 2023","24363.70","24367.90","24213.75","24302.45"
"20 Feb 2023","24498.35","24532.25","24247.30","24293.90"
"17 Feb 2023","24507.90","24606.25","24408.20","24450.85"
"16 Feb 2023","24669.55","24688.35","24533.05","24574.70"
"15 Feb 2023","24412.75","24627","24325","24582.45"
"14 Feb 2023","24549.60","24582.10","24358.95","24471.55"
"13 Feb 2023","24659.65","24751.75","24470.70","24516.05"
"10 Feb 2023","24444.60","24675.95","24411.50","24634.55"
