"Date","Open","High","Low","Close"
"06 Apr 2023","8490.35","8559.15","8466.70","8550.65"
"05 Apr 2023","8500.70","8501.45","8451.80","8495.55"
"03 Apr 2023","8513.30","8515.10","8465.40","8497.75"
"31 Mar 2023","8413.30","8490.90","8410.75","8466.80"
"29 Mar 2023","8225.20","8390.45","8225.05","8373.50"
"28 Mar 2023","8272.90","8283.95","8194.60","8231.10"
"27 Mar 2023","8278.85","8325.05","8243.75","8255.85"
"24 Mar 2023","8399.85","8402.95","8266.30","8283.75"
"23 Mar 2023","8435.50","8452.45","8390.20","8399.90"
"22 Mar 2023","8467.50","8490.80","8445.15","8451.70"
"21 Mar 2023","8422.60","8447.55","8382.65","8433.60"
"20 Mar 2023","8471.25","8487.85","8316.50","8392.20"
"17 Mar 2023","8519.60","8535.80","8445.60","8487.70"
"16 Mar 2023","8402.35","8483.80","8323.70","8455.05"
"15 Mar 2023","8493.95","8512.75","8397.20","8411.40"
"14 Mar 2023","8457.60","8472.00","8372.75","8423.50"
"13 Mar 2023","8625.85","8649.35","8433.05","8455.55"
"10 Mar 2023","8636.40","8636.40","8544.80","8627.95"
"09 Mar 2023","8768.30","8785.65","8679.35","8690.95"
"08 Mar 2023","8649.55","8753.25","8627.45","8745.10"
"06 Mar 2023","8660.25","8724.85","8658.50","8680.65"
"03 Mar 2023","8595.90","8640.00","8584.40","8623.75"
"02 Mar 2023","8567.10","8581.50","8533.85","8549.00"
"01 Mar 2023","8474.10","8575.50","8470.90","8567.70"
"28 Feb 2023","8444.40","8483.40","8426.45","8456.70"
"27 Feb 2023","8467.30","8468.70","8338.20","8418.00"
"24 Feb 2023","8531.85","8564.80","8463.95","8476.95"
"23 Feb 2023","8523.25","8531.30","8422.25","8507.45"
"22 Feb 2023","8580.05","8598.85","8491.10","8519.75"
"21 Feb 2023","8672.35","8675.50","8599.85","8609.95"
"20 Feb 2023","8680.85","8702.40","8614.00","8647.30"
"17 Feb 2023","8722.70","8732.40","8644.70","8658.85"
"16 Feb 2023","8723.15","8774.55","8707.40","8749.70"
"15 Feb 2023","8614.30","8698.20","8602.85","8688.85"
"14 Feb 2023","8637.70","8654.30","8564.10","8627.35"
"13 Feb 2023","8742.80","8756.30","8617.35","8629.50"
"10 Feb 2023","8733.10","8789.60","8708.30","8771.75"
"09 Feb 2023","8760.30","8778.75","8719.30","8758.55"
"08 Feb 2023","8672.25","8747.65","8639.80","8740.45"
"07 Feb 2023","8680.20","8692.85","8610.60","8659.50"
"06 Feb 2023","8611.60","8684.05","8601.85","8667.30"
"03 Feb 2023","8618.95","8632.80","8469.40","8604.05"
"02 Feb 2023","8528.55","8630.20","8489.25","8580.65"
"01 Feb 2023","8714.30","8801.60","8402.55","8554.70"
"31 Jan 2023","8511.55","8654.95","8473.05","8638.00"
"30 Jan 2023","8466.40","8563.85","8410.95","8476.95"
"27 Jan 2023","8629.25","8636.80","8374.55","8463.00"
"25 Jan 2023","8724.35","8724.35","8576.85","8604.10"
"24 Jan 2023","8801.95","8804.25","8720.90","8733.45"
"23 Jan 2023","8717.55","8797.20","8690.80","8788.50"
"20 Jan 2023","8763.75","8770.45","8677.50","8687.15"
"19 Jan 2023","8734.55","8762.75","8706.90","8755.35"
"18 Jan 2023","8715.50","8773.05","8700.50","8754.10"
"17 Jan 2023","8723.70","8728.40","8634.75","8695.65"
"16 Jan 2023","8766.45","8797.55","8694.60","8707.35"
"13 Jan 2023","8768.00","8769.45","8687.10","8747.40"
"12 Jan 2023","8816.40","8816.50","8709.35","8748.90"
"11 Jan 2023","8802.65","8829.05","8748.70","8785.40"
"10 Jan 2023","8836.55","8836.80","8734.20","8786.30"
"09 Jan 2023","8816.00","8841.75","8779.60","8826.95"
"06 Jan 2023","8817.70","8827.05","8717.10","8752.30"
"05 Jan 2023","8778.35","8818.00","8722.95","8808.60"
"04 Jan 2023","8849.55","8863.95","8713.50","8745.70"
"03 Jan 2023","8834.25","8868.10","8809.40","8843.35"
"02 Jan 2023","8787.40","8830.60","8746.20","8821.80"
"30 Dec 2022","8750.40","8797.45","8735.15","8751.75"
"29 Dec 2022","8662.40","8723.05","8589.80","8697.50"
"28 Dec 2022","8669.35","8714.00","8624.65","8698.40"
"27 Dec 2022","8644.40","8689.85","8593.05","8678.30"
"26 Dec 2022","8394.50","8619.55","8336.00","8595.20"
"23 Dec 2022","8616.00","8638.10","8382.15","8400.35"
"22 Dec 2022","8782.25","8806.70","8625.30","8691.90"
"21 Dec 2022","8887.45","8931.05","8708.00","8738.60"
"20 Dec 2022","8871.90","8889.75","8776.65","8859.90"
"19 Dec 2022","8838.70","8898.75","8782.40","8890.70"
"16 Dec 2022","8937.00","8971.40","8824.60","8831.40"
"15 Dec 2022","9067.50","9086.75","8956.80","8982.10"
"14 Dec 2022","9035.20","9085.60","9026.75","9070.10"
"13 Dec 2022","8982.90","9001.25","8960.85","8996.30"
"12 Dec 2022","8920.75","8965.00","8853.10","8960.60"
"09 Dec 2022","9024.75","9042.85","8840.75","8917.30"
"08 Dec 2022","8944.70","8982.15","8922.40","8976.05"
"07 Dec 2022","8979.15","9004.05","8910.10","8920.00"
"06 Dec 2022","8995.20","9009.20","8947.25","8968.40"
"05 Dec 2022","9021.95","9024.25","8953.30","9014.70"
"02 Dec 2022","8936.20","8999.85","8924.55","8994.15"
"01 Dec 2022","8896.65","8944.55","8865.00","8932.15"
"30 Nov 2022","8778.70","8874.55","8775.80","8855.60"
"29 Nov 2022","8812.60","8833.05","8750.60","8764.35"
"28 Nov 2022","8760.35","8817.25","8753.15","8808.00"
"25 Nov 2022","8693.85","8769.60","8683.35","8758.50"
"24 Nov 2022","8657.65","8680.45","8641.80","8673.45"
"23 Nov 2022","8613.60","8642.40","8602.30","8628.40"
"22 Nov 2022","8550.55","8592.05","8535.75","8583.75"
"21 Nov 2022","8532.60","8546.80","8495.25","8536.45"
"18 Nov 2022","8604.90","8613.85","8498.60","8539.85"
"17 Nov 2022","8584.05","8604.70","8555.65","8583.35"
"16 Nov 2022","8676.45","8685.50","8556.70","8597.40"
"15 Nov 2022","8679.45","8692.60","8636.40","8675.45"
"14 Nov 2022","8680.15","8698.05","8616.70","8678.55"
"11 Nov 2022","8776.05","8808.55","8649.30","8680.60"
"10 Nov 2022","8746.60","8768.80","8644.55","8675.05"
"09 Nov 2022","8843.10","8846.95","8744.60","8760.30"
"07 Nov 2022","8791.80","8830.20","8759.15","8824.80"
"04 Nov 2022","8783.80","8801.65","8724.35","8747.00"
"03 Nov 2022","8705.35","8783.40","8697.15","8775.10"
"02 Nov 2022","8758.6","8773.1","8723.35","8742.95"
"01 Nov 2022","8722.7","8771.35","8709.65","8762.45"
"31 Oct 2022","8620.05","8694.95","8618.35","8690.35"
"28 Oct 2022","8623.70","8635.15","8552.60","8581.25"
"27 Oct 2022","8572.05","8618.40","8552.95","8603.45"
"25 Oct 2022","8512.10","8562.25","8434.00","8537.05"
"24 Oct 2022","8560.35","8560.50","8486.45","8496.70"
"21 Oct 2022","8504.20","8542.45","8416.45","8457.90"
"20 Oct 2022","8480.30","8494.05","8428.50","8484.35"
"19 Oct 2022","8540.45","8559.95","8498.45","8520.05"
"18 Oct 2022","8454.80","8527.40","8430.35","8518.80"
"17 Oct 2022","8313.55","8396.30","8248.25","8385.05"
"14 Oct 2022","8455.35","8465.15","8315.75","8326.35"
"13 Oct 2022","8411.65","8425.15","8286.00","8328.15"
"12 Oct 2022","8366.75","8421.20","8289.10","8406.10"
"11 Oct 2022","8510.90","8512.45","8316.10","8340.85"
"10 Oct 2022","8452.45","8511.05","8419.10","8483.15"
"07 Oct 2022","8580.35","8586.95","8487.30","8558.80"
"06 Oct 2022","8555.20","8621.50","8551.20","8579.50"
"04 Oct 2022","8363.40","8494.30","8353.95","8481.15"
"03 Oct 2022","8341.7","8366.15","8192.75","8225.90"
"30 Sep 2022","8180.05","8349.85","8101.75","8332.70"
"29 Sep 2022","8215.60","8248.80","8112.65","8179.60"
"28 Sep 2022","8127.70","8225.25","8106.65","8140.70"
"27 Sep 2022","8224.6","8254.8","8100.45","8182.15"
"26 Sep 2022","8357.85","8363.05","8094.85","8174.45"
"23 Sep 2022","8667.00","8685.05","8412.45","8428.75"
"22 Sep 2022","8596.15","8692.55","8561.15","8661.15"
"21 Sep 2022","8681.00","8734.70","8601.55","8627.95"
"20 Sep 2022","8636.30","8746.05","8634.95","8680.60"
"19 Sep 2022","8597.25","8627.70","8506.80","8572.90"
"16 Sep 2022","8825.15","8843.60","8499.35","8573.45"
"15 Sep 2022","8843.65","8869.85","8769.75","8833.25"
"14 Sep 2022","8713.80","8817.40","8702.70","8795.70"
"13 Sep 2022","8862.45","8881.80","8821.75","8829.00"
"12 Sep 2022","8769.60","8827.80","8760.55","8821.05"
"09 Sep 2022","8766.20","8784.65","8694.15","8735.60"
"08 Sep 2022","8763.05","8778.40","8696.70","8714.10"
"07 Sep 2022","8625.70","8705.50","8614.85","8700.05"
"06 Sep 2022","8667.55","8685.95","8625.90","8651.95"
"05 Sep 2022","8614.80","8650.70","8613.10","8630.60"
"02 Sep 2022","8641.85","8671.25","8575.10","8587.70"
"01 Sep 2022","8501.30","8617.50","8490.35","8599.10"
"30 Aug 2022","8450.40","8563.35","8445.60","8556.00"
"29 Aug 2022","8262.20","8402.35","8261.20","8394.60"
"26 Aug 2022","8488.90","8535.15","8459.55","8478.30"
"25 Aug 2022","8464.35","8508.30","8418.15","8431.70"
"24 Aug 2022","8361.40","8427.30","8331.05","8419.95"
"23 Aug 2022","8196.70","8377.35","8183.80","8358.60"
"22 Aug 2022","8401.05","8401.05","8248.50","8259.40"
"19 Aug 2022","8556.55","8573.20","8403.20","8429.80"
"18 Aug 2022","8505.70","8553.45","8480.45","8532.30"
"17 Aug 2022","8489.00","8519.65","8478.35","8506.80"
"16 Aug 2022","8403.90","8461.45","8392.70","8456.15"
"12 Aug 2022","8348.50","8385.95","8327.15","8358.45"
"11 Aug 2022","8314.00","8354.00","8297.85","8322.85"
"10 Aug 2022","8276.85","8287.50","8206.70","8247.85"
"08 Aug 2022","8224.00","8272.40","8195.70","8258.35"
"05 Aug 2022","8244.75","8253.45","8200.05","8225.90"
"04 Aug 2022","8254.90","8293.25","8093.70","8218.60"
"03 Aug 2022","8313.60","8319.70","8159.85","8219.05"
"02 Aug 2022","8288.30","8335.75","8239.90","8319.35"
"01 Aug 2022","8203.75","8309.45","8178.90","8300.50"
"29 Jul 2022","8136.95","8186.30","8120.80","8170.80"
"28 Jul 2022","8053.75","8086.35","8012.50","8068.50"
"27 Jul 2022","7925.00","8012.35","7900.30","8004.15"
"26 Jul 2022","8047.35","8049.60","7931.10","7940.05"
"25 Jul 2022","8036.05","8060.20","7999.70","8039.40"
"22 Jul 2022","8052.60","8077.35","8009.70","8038.25"
"21 Jul 2022","7911.95","8037.95","7901.80","8025.05"
"20 Jul 2022","7968.80","7973.95","7891.65","7906.65"
"19 Jul 2022","7814.45","7901.35","7803.65","7891.85"
"18 Jul 2022","7778.20","7850.55","7768.10","7843.50"
"15 Jul 2022","7663.90","7726.45","7651.35","7716.75"
"14 Jul 2022","7671.90","7693.15","7595.45","7649.95"
"13 Jul 2022","7656.90","7695.05","7636.70","7660.85"
"12 Jul 2022","7664.40","7700.50","7610.90","7625.75"
"11 Jul 2022","7638.95","7700.05","7624.40","7691.40"
"08 Jul 2022","7700.50","7702.90","7622.75","7667.35"
"07 Jul 2022","7610.75","7657.35","7584.00","7651.00"
"06 Jul 2022","7415.80","7571.90","7393.30","7561.30"
"05 Jul 2022","7450.40","7494.15","7388.25","7400.30"
"04 Jul 2022","7352.70","7429.35","7320.90","7422.00"
"01 Jul 2022","7268.45","7372.70","7219.20","7355.55"
"30 Jun 2022","7357.10","7387.65","7280.45","7297.65"
"29 Jun 2022","7322.75","7375.45","7292.75","7359.95"
"28 Jun 2022","7358.90","7408.70","7332.40","7399.45"
"27 Jun 2022","7402.05","7435.40","7382.85","7391.00"
"24 Jun 2022","7257.90","7323.45","7253.80","7314.40"
"23 Jun 2022","7134.80","7239.15","7113.55","7212.95"
"22 Jun 2022","7209.80","7209.80","7103.70","7119.70"
"21 Jun 2022","7080.95","7242.35","7071.70","7231.55"
"20 Jun 2022","7163.65","7178.50","6963.15","7032.30"
"17 Jun 2022","7150.30","7231.80","7088.25","7158.10"
"16 Jun 2022","7453.85","7468.05","7181.30","7196.15"
"15 Jun 2022","7386.60","7405.65","7344.10","7376.65"
"14 Jun 2022","7310.20","7438.05","7309.35","7345.10"
"13 Jun 2022","7461.25","7467.15","7326.55","7355.30"
"10 Jun 2022","7575.55","7599.10","7540.45","7585.65"
"09 Jun 2022","7573.80","7648.15","7544.35","7639.70"
"08 Jun 2022","7632.05","7676.50","7560.65","7604.75"
"07 Jun 2022","7644.50","7652.90","7577.60","7620.60"
"06 Jun 2022","7702.45","7708.75","7597.35","7676.00"
"03 Jun 2022","7894.85","7909.80","7702.45","7711.90"
"02 Jun 2022","7804.30","7846.90","7766.20","7837.60"
"01 Jun 2022","7802.70","7850.45","7752.40","7797.75"
"31 May 2022","7753.70","7831.75","7741.25","7783.40"
"30 May 2022","7668.60","7764.95","7662.50","7757.45"
"27 May 2022","7555.00","7603.40","7522.75","7594.15"
"26 May 2022","7426.80","7511.40","7281.80","7488.55"
"25 May 2022","7558.60","7575.35","7374.95","7395.70"
"24 May 2022","7576.10","7590.80","7501.65","7533.60"
"23 May 2022","7629.35","7682.15","7553.30","7569.20"
"20 May 2022","7540.10","7600.00","7535.30","7591.60"
"19 May 2022","7483.85","7516.00","7384.75","7422.75"
"18 May 2022","7701.40","7740.65","7618.40","7647.65"
"17 May 2022","7505.80","7673.90","7482.05","7662.15"
"16 May 2022","7392.25","7484.80","7315.55","7468.95"
"13 May 2022","7414.20","7524.40","7330.85","7351.95"
"12 May 2022","7442.90","7450.25","7257.75","7317.05"
"11 May 2022","7570.30","7605.90","7363.15","7499.50"
"10 May 2022","7649.60","7743.45","7511.10","7533.65"
"09 May 2022","7748.90","7763.30","7616.90","7668.95"
"06 May 2022","7832.15","7860.85","7750.15","7822.05"
"05 May 2022","8025.40","8085.25","7946.65","7972.10"
"04 May 2022","8167.05","8180.70","7903.75","7933.70"
"02 May 2022","8096.80","8133.20","8055.05","8120.15"
"29 Apr 2022","8303.00","8333.50","8148.75","8168.85"
"28 Apr 2022","8258.05","8260.35","8157.30","8244.95"
"27 Apr 2022","8207.20","8250.40","8135.60","8194.90"
"26 Apr 2022","8199.05","8279.30","8193.95","8271.75"
"25 Apr 2022","8223.00","8226.60","8086.85","8121.35"
"22 Apr 2022","8339.15","8388.20","8287.75","8299.75"
"21 Apr 2022","8347.70","8396.35","8342.70","8386.70"
"20 Apr 2022","8283.85","8365.95","8242.00","8294.05"
"19 Apr 2022","8414.45","8447.55","8173.40","8253.30"
"18 Apr 2022","8373.05","8383.70","8277.15","8352.25"
"13 Apr 2022","8512.75","8531.10","8442.85","8455.40"
"12 Apr 2022","8604.20","8606.45","8385.45","8467.55"
"11 Apr 2022","8614.15","8657.50","8602.65","8618.05"
