"Date","Open","High","Low","Close"
"06 Apr 2023","23281.75","23427.20","23212.65","23356.65"
"05 Apr 2023","23126.40","23341.90","23108.65","23318.25"
"03 Apr 2023","23114.80","23122.50","22975.70","23103.00"
"31 Mar 2023","22885.45","23069.90","22849.75","23037.00"
"29 Mar 2023","22549.05","22747.10","22526.90","22672.40"
"28 Mar 2023","22604.20","22637.70","22462.10","22519.95"
"27 Mar 2023","22642.85","22711.20","22503.60","22561.40"
"24 Mar 2023","22694.30","22782.05","22539.50","22581.50"
"23 Mar 2023","22709.70","22889.60","22638.50","22675.05"
"22 Mar 2023","22827.60","22877.20","22708.15","22784.60"
"21 Mar 2023","22658.00","22751.25","22552.70","22716.65"
"20 Mar 2023","22699.95","22699.95","22356.20","22557.15"
"17 Mar 2023","22671.20","22796.55","22512.75","22742.25"
"16 Mar 2023","22516.75","22613.30","22333.20","22501.90"
"15 Mar 2023","22802.35","22848.75","22456.05","22500.80"
"14 Mar 2023","22792.55","22879.25","22535.20","22631.05"
"13 Mar 2023","23160.85","23335.60","22750.50","22804.05"
"10 Mar 2023","23195.75","23204.35","23034.55","23146.45"
"09 Mar 2023","23615.10","23626.60","23395.70","23415.15"
"08 Mar 2023","23457.45","23590.65","23402.15","23572.15"
"06 Mar 2023","23475.85","23659.35","23465.05","23539.40"
"03 Mar 2023","23173.60","23415.95","23131.70","23347.10"
"02 Mar 2023","23112.10","23164.40","22953.65","22979.35"
"01 Mar 2023","23067.05","23194.35","23037.00","23171.15"
"28 Feb 2023","23041.10","23139.50","22907.15","22972.90"
"27 Feb 2023","22995.10","23097.10","22885.65","23061.40"
"24 Feb 2023","23252.85","23276.20","23027.30","23077.95"
"23 Feb 2023","23204.80","23258.25","23019.95","23132.35"
"22 Feb 2023","23439.95","23473.10","23155.30","23195.90"
"21 Feb 2023","23692.80","23732.15","23548.65","23586.30"
"20 Feb 2023","23806.20","23897.95","23595.75","23638.35"
"17 Feb 2023","23921.80","23944.70","23684.95","23782.45"
"16 Feb 2023","24087.10","24166.30","23954.05","24010.30"
"15 Feb 2023","23876.30","24036.10","23776.55","24005.95"
"14 Feb 2023","23825.65","23957.20","23776.40","23930.30"
"13 Feb 2023","23923.20","23932.45","23680.70","23747.85"
"10 Feb 2023","23925.35","24016.05","23878.25","23968.45"
"09 Feb 2023","23973.80","24036.40","23839.60","24011.60"
"08 Feb 2023","23813.80","24016.35","23811.50","23962.50"
"07 Feb 2023","23845.45","23912.00","23684.20","23796.75"
"06 Feb 2023","23889.70","23900.75","23716.90","23811.25"
"03 Feb 2023","23696.95","23974.85","23581.25","23955.55"
"02 Feb 2023","23373.50","23634.20","23306.35","23584.10"
"01 Feb 2023","23889.05","24162.70","23208.80","23626.45"
"31 Jan 2023","23785.55","23802.75","23491.30","23671.25"
"30 Jan 2023","23571.40","23893.95","23373.10","23736.45"
"27 Jan 2023","24386.90","24401.95","23683.50","23821.00"
"25 Jan 2023","24956.65","24971.70","24508.00","24533.05"
"24 Jan 2023","25085.90","25134.85","24944.00","25006.95"
"23 Jan 2023","24960.15","25015.20","24894.65","24982.65"
"20 Jan 2023","24847.20","24931.35","24783.15","24803.90"
"19 Jan 2023","24827.15","24862.95","24716.40","24796.75"
"18 Jan 2023","24763.90","24903.25","24699.75","24872.25"
"17 Jan 2023","24571.80","24767.45","24517.85","24733.10"
"16 Jan 2023","24675.35","24724.30","24475.30","24543.15"
"13 Jan 2023","24399.95","24605.70","24265.05","24559.60"
"12 Jan 2023","24401.80","24446.45","24222.55","24377.65"
"11 Jan 2023","24337.80","24466.20","24188.80","24369.00"
"10 Jan 2023","24617.65","24629.05","24224.80","24335.85"
"09 Jan 2023","24396.20","24659.70","24381.85","24612.65"
"06 Jan 2023","24592.65","24600.15","24178.00","24275.75"
"05 Jan 2023","24880.10","24880.10","24429.70","24587.35"
"04 Jan 2023","25047.20","25084.10","24751.40","24784.55"
"03 Jan 2023","24887.40","25112.45","24887.35","25068.10"
"02 Jan 2023","24865.05","24973.60","24792.45","24924.50"
"30 Dec 2022","25138.20","25143.40","24802.10","24842.40"
"29 Dec 2022","24711.90","25110.05","24604.30","25016.95"
"28 Dec 2022","24744.35","24897.35","24724.00","24821.55"
"27 Dec 2022","24806.85","24863.40","24598.90","24825.75"
"26 Dec 2022","24333.55","24798.50","24241.20","24692.10"
"23 Dec 2022","24537.55","24628.30","24273.90","24311.35"
"22 Dec 2022","24981.70","25026.10","24682.60","24776.50"
"21 Dec 2022","25221.45","25287.35","24781.50","24845.65"
"20 Dec 2022","25060.00","25165.35","24915.00","25137.75"
"19 Dec 2022","25041.25","25206.35","24978.60","25184.15"
"16 Dec 2022","25066.95","25215.65","25000.00","25032.85"
"15 Dec 2022","25505.45","25545.30","25172.15","25224.95"
"14 Dec 2022","25552.80","25623.70","25523.55","25567.10"
"13 Dec 2022","25317.70","25488.30","25308.75","25466.90"
"12 Dec 2022","25167.90","25353.45","25077.35","25287.35"
"09 Dec 2022","25584.10","25585.75","25186.45","25312.50"
"08 Dec 2022","25434.55","25520.40","25380.40","25506.95"
"07 Dec 2022","25533.35","25590.05","25388.30","25428.35"
"06 Dec 2022","25497.85","25566.00","25474.75","25546.05"
"05 Dec 2022","25662.60","25672.10","25465.25","25642.15"
"02 Dec 2022","25669.35","25721.25","25538.25","25610.45"
"01 Dec 2022","25888.95","25939.50","25741.45","25788.80"
"30 Nov 2022","25523.75","25770.05","25455.25","25693.45"
"29 Nov 2022","25438.10","25607.70","25438.10","25514.50"
"28 Nov 2022","25387.35","25605.95","25384.20","25469.40"
"25 Nov 2022","25642.10","25649.75","25446.30","25533.60"
"24 Nov 2022","25328.55","25636.30","25292.35","25584.80"
"23 Nov 2022","25289.00","25322.70","25206.30","25253.95"
"22 Nov 2022","25134.05","25196.70","25057.55","25170.35"
"21 Nov 2022","25188.20","25221.15","25052.90","25098.45"
"18 Nov 2022","25399.25","25424.00","25169.45","25304.35"
"17 Nov 2022","25402.05","25493.90","25295.40","25342.70"
"16 Nov 2022","25431.45","25528.05","25371.70","25483.40"
"15 Nov 2022","25335.05","25481.50","25241.20","25441.30"
"14 Nov 2022","25308.60","25365.65","25229.50","25302.50"
"11 Nov 2022","25072.00","25316.50","25062.55","25269.75"
"10 Nov 2022","24630.45","24745.10","24583.35","24691.75"
"09 Nov 2022","24996.25","25003.05","24737.05","24811.55"
"07 Nov 2022","24896.40","24931.85","24650.95","24868.90"
"04 Nov 2022","24705.95","24765.15","24589.10","24736.05"
"03 Nov 2022","24622.20","24814.75","24606.55","24726.55"
"02 Nov 2022","25006","25006.5","24756.3","24806.40"
"01 Nov 2022","24867.9","24991.65","24818.8","24950.15"
"31 Oct 2022","24575.30","24746.55","24560.75","24726.40"
"28 Oct 2022","24449.15","24543.35","24318.60","24398.30"
"27 Oct 2022","24502.90","24518.70","24341.95","24453.05"
"25 Oct 2022","24542.55","24552.85","24305.35","24331.75"
"24 Oct 2022","24463.20","24501.85","24396.05","24429.45"
"21 Oct 2022","24167.95","24273.45","24076.10","24168.65"
"20 Oct 2022","23848.00","24112.75","23827.95","24077.80"
"19 Oct 2022","24146.50","24182.85","23931.15","23985.35"
"18 Oct 2022","24002.35","24051.65","23932.35","24003.90"
"17 Oct 2022","23534.80","23834.45","23472.10","23801.45"
"14 Oct 2022","23759.70","23815.05","23539.70","23568.70"
"13 Oct 2022","23409.10","23446.95","23175.45","23249.75"
"12 Oct 2022","23362.95","23508.05","23268.25","23477.30"
"11 Oct 2022","23617.10","23634.25","23246.70","23296.85"
"10 Oct 2022","23340.65","23673.45","23276.20","23615.00"
"07 Oct 2022","23644.80","23684.30","23503.10","23655.70"
"06 Oct 2022","23818.15","23901.95","23709.60","23735.95"
"04 Oct 2022","23458.60","23689.05","23413.10","23666.00"
"03 Oct 2022","23328.7","23387","22963.3","23048.00"
"30 Sep 2022","22876.25","23478.7","22752.65","23379.90"
"29 Sep 2022","23256.20","23324.35","22888.85","22930.25"
"28 Sep 2022","23060.75","23323.15","22996.25","23064.55"
"27 Sep 2022","23452.3","23591.1","23171.5","23241.10"
"26 Sep 2022","23490.2","23558","23227.25","23331.55"
"23 Sep 2022","24160.65","24219.05","23681.15","23728.40"
"22 Sep 2022","24292.65","24372.20","24101.15","24247.65"
"21 Sep 2022","24574.05","24671.10","24341.65","24448.15"
"20 Sep 2022","24609.20","24816.40","24567.35","24666.45"
"19 Sep 2022","24273.55","24490.80","24144.85","24379.55"
"16 Sep 2022","24564.25","24609.80","24167.15","24236.20"
"15 Sep 2022","24903.25","24975.65","24624.50","24689.70"
"14 Sep 2022","24436.70","24943.35","24436.70","24823.75"
"13 Sep 2022","24894.80","24930.95","24826.30","24906.20"
"12 Sep 2022","24665.05","24772.95","24646.55","24720.65"
