"Date","Open","High","Low","Close"
"06 Apr 2023","9253.25","9261.10","9210.80","9231.05"
"05 Apr 2023","9153.80","9276.05","9150.35","9265.60"
"03 Apr 2023","9236.95","9236.95","9145.65","9175.00"
"31 Mar 2023","9142.30","9211.85","9120.25","9197.40"
"29 Mar 2023","8984.55","9088.05","8951.65","9063.95"
"28 Mar 2023","9023.05","9052.45","8957.10","8962.95"
"27 Mar 2023","8993.20","9062.10","8963.20","9004.45"
"24 Mar 2023","9069.00","9097.75","8964.90","8980.60"
"23 Mar 2023","9021.00","9073.65","8984.05","9037.60"
"22 Mar 2023","9074.50","9091.05","9014.80","9050.45"
"21 Mar 2023","9111.05","9125.15","9027.55","9038.55"
"20 Mar 2023","9108.60","9108.60","8995.05","9098.60"
"17 Mar 2023","9174.20","9190.40","9105.50","9140.75"
"16 Mar 2023","9121.10","9135.90","9044.70","9109.75"
"15 Mar 2023","9202.00","9216.75","9106.50","9114.65"
"14 Mar 2023","9235.85","9254.75","9095.55","9127.65"
"13 Mar 2023","9338.40","9396.80","9190.60","9218.90"
"10 Mar 2023","9246.55","9320.90","9229.25","9311.65"
"09 Mar 2023","9400.50","9413.50","9308.45","9318.60"
"08 Mar 2023","9331.00","9397.80","9288.75","9390.65"
"06 Mar 2023","9345.50","9421.65","9341.15","9374.50"
"03 Mar 2023","9278.15","9325.30","9269.80","9299.65"
"02 Mar 2023","9266.55","9278.35","9198.40","9218.55"
"01 Mar 2023","9191.30","9296.60","9191.25","9287.90"
"28 Feb 2023","9290.00","9316.60","9170.30","9189.55"
"27 Feb 2023","9376.20","9376.35","9211.15","9275.80"
"24 Feb 2023","9464.50","9475.65","9362.00","9396.40"
"23 Feb 2023","9448.05","9503.10","9409.60","9433.50"
"22 Feb 2023","9466.60","9483.80","9392.50","9416.25"
"21 Feb 2023","9587.00","9598.50","9501.75","9510.80"
"20 Feb 2023","9558.35","9614.05","9529.00","9549.85"
"17 Feb 2023","9549.80","9586.70","9529.10","9548.85"
"16 Feb 2023","9575.00","9628.15","9562.35","9595.90"
"15 Feb 2023","9480.75","9552.50","9443.80","9544.45"
"14 Feb 2023","9484.20","9549.60","9472.05","9529.30"
"13 Feb 2023","9485.00","9487.35","9418.10","9438.20"
"10 Feb 2023","9507.60","9528.05","9463.20","9487.20"
"09 Feb 2023","9511.55","9563.95","9486.30","9544.25"
"08 Feb 2023","9451.45","9535.15","9449.15","9508.75"
"07 Feb 2023","9521.85","9523.65","9409.05","9431.50"
"06 Feb 2023","9553.80","9579.70","9483.80","9530.40"
"03 Feb 2023","9588.15","9592.85","9485.65","9581.85"
"02 Feb 2023","9418.50","9540.00","9414.25","9528.05"
"01 Feb 2023","9390.30","9460.10","9273.60","9408.45"
"31 Jan 2023","9362.00","9364.90","9250.80","9331.20"
"30 Jan 2023","9356.10","9367.35","9275.85","9329.05"
"27 Jan 2023","9408.25","9439.20","9269.50","9338.20"
"25 Jan 2023","9375.15","9393.35","9335.10","9374.35"
"24 Jan 2023","9419.90","9424.55","9379.10","9390.75"
"23 Jan 2023","9344.90","9395.75","9322.80","9389.70"
"20 Jan 2023","9328.55","9361.35","9281.10","9299.90"
"19 Jan 2023","9355.30","9389.80","9336.40","9369.00"
"18 Jan 2023","9343.45","9401.10","9335.50","9393.75"
"17 Jan 2023","9236.65","9328.35","9224.35","9319.85"
"16 Jan 2023","9231.60","9238.35","9173.75","9229.90"
"13 Jan 2023","9120.35","9231.85","9081.95","9195.70"
"12 Jan 2023","9143.10","9155.60","9074.40","9118.20"
"11 Jan 2023","9146.35","9187.35","9103.70","9111.00"
"10 Jan 2023","9152.55","9159.95","9076.25","9123.90"
"09 Jan 2023","9061.50","9180.65","9059.75","9164.70"
"06 Jan 2023","9095.15","9111.40","8989.20","9001.90"
"05 Jan 2023","9083.10","9120.10","9040.10","9098.40"
"04 Jan 2023","9155.75","9160.40","9026.65","9045.15"
"03 Jan 2023","9138.70","9190.90","9122.15","9156.10"
"02 Jan 2023","9121.85","9166.25","9096.30","9156.85"
"30 Dec 2022","9161.20","9174.75","9078.10","9093.60"
"29 Dec 2022","9062.60","9134.10","9040.90","9120.10"
"28 Dec 2022","9079.30","9124.10","9061.25","9104.80"
"27 Dec 2022","9087.45","9116.20","9030.25","9104.20"
"26 Dec 2022","8955.00","9075.40","8943.70","9043.25"
"23 Dec 2022","9036.75","9076.00","8942.80","8956.00"
"22 Dec 2022","9199.55","9220.70","9089.25","9113.70"
"21 Dec 2022","9216.25","9242.05","9147.80","9162.05"
"20 Dec 2022","9197.65","9203.15","9084.15","9193.45"
"19 Dec 2022","9170.90","9228.10","9149.35","9222.65"
"16 Dec 2022","9219.90","9276.50","9171.25","9183.60"
"15 Dec 2022","9387.05","9406.65","9258.85","9273.50"
"14 Dec 2022","9382.25","9431.15","9373.25","9410.50"
"13 Dec 2022","9304.20","9354.95","9261.65","9349.60"
"12 Dec 2022","9239.30","9295.20","9201.65","9286.80"
"09 Dec 2022","9438.70","9438.80","9246.10","9289.15"
"08 Dec 2022","9389.30","9418.55","9367.80","9411.35"
"07 Dec 2022","9391.60","9432.70","9371.30","9395.95"
"06 Dec 2022","9396.30","9408.90","9366.25","9403.10"
"05 Dec 2022","9429.65","9459.15","9375.95","9446.90"
"02 Dec 2022","9472.40","9481.75","9393.15","9421.80"
"01 Dec 2022","9466.45","9498.85","9458.80","9487.25"
"30 Nov 2022","9330.25","9441.90","9325.80","9406.40"
"29 Nov 2022","9285.70","9378.20","9285.30","9342.45"
"28 Nov 2022","9268.10","9329.25","9264.20","9286.70"
"25 Nov 2022","9292.85","9313.80","9234.25","9301.90"
"24 Nov 2022","9149.65","9302.95","9137.80","9277.15"
"23 Nov 2022","9164.70","9165.55","9109.20","9125.05"
"22 Nov 2022","9067.55","9137.65","9040.75","9130.65"
"21 Nov 2022","9117.75","9129.30","9048.55","9061.80"
"18 Nov 2022","9178.90","9182.05","9086.30","9147.05"
